Id,dept_Id,SubDept_Id,Vehicle_Id,Vehicle_Profile_Id,Description,Vehicle_Price_Id,Vehicle_Showroom_Price,Vehicle_Showroom_Delta,Vehicle_Showroom_Payment_Date,Average,Increment,Target_Simulation_Id
270,270,1,0,0,Wagon R,77,78234.543,1450.01,3/26/2024,7440,0,1065
270,270,1,0,0,Wagon R,78,79234.678,1450.01,3/26/2024,7200,0,1065
271,271,1,0,0,Grand Vitara,5,2953456.992,10.01,3/20/2023,-184468.7534,17141.08512,1068
271,271,1,0,0,Engine_Base,28,29,12340.0123,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,30,31,12340.0123,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,33,34,12340.0123,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,52,53,134560.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Grand Vitara,6,54670.9942,1289.0001,3/20/2023,-229118.3745,26443.08843,1068
271,271,1,0,0,Engine_Base,53,543456.1234,134560.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,38,39,0.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,48,49,0.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,36,37,0.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,43,44,0.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,29,30,12340.0123,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,39,40,0.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,40,41,0.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,35,36,0.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,45,46,0.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,41,42,0.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,50,51,134560.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,54,55,134560.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,42,43,0.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,47,48,0.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,44,45,0.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,37,38,0.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,55,56,134560.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,46,47,0.01,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,32,33,12340.0123,3/20/2023,1668.2506,0,1068
271,271,1,1,0,Grand Vitara,6,54670.9942,1289.0001,3/20/2023,677920.8376,-78240.40949,1068
271,271,1,0,0,Engine_Base,31,32,12340.0123,3/20/2023,1668.2506,0,1068
271,271,1,0,0,Engine_Base,51,52,134560.01,3/20/2023,1668.2506,0,1068
271,271,1,1,0,Grand Vitara,5,2953456.992,10.01,3/20/2023,545810.488,-50717.59224,1068
271,271,1,0,0,Engine_Base,49,50,134560.01,3/20/2023,1668.2506,0,1068
272,272,1,1,0,Creta,35,36,0.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,34,35,12340.0123,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,43,44,0.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,47,48,0.01,3/20/2023,-2383.215143,0,1071
272,272,1,2,0,Grand Vitara,6,54670.9942,1289.0001,3/20/2023,-154029.1593,17776.85247,1071
272,272,1,1,0,Creta,53,543456.1234,134560.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,32,33,12340.0123,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,50,51,134560.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,56,57,134560.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,45,46,0.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,55,56,134560.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,51,52,134560.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,52,53,134560.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,54,55,134560.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,48,49,0.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,49,50,134560.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Grand Vitara,5,2953456.992,10.01,3/20/2023,45523.252,-25063.47373,1071
272,272,1,1,0,Creta,37,38,0.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,36,37,0.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,33,34,12340.0123,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,38,39,0.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,40,41,0.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,39,40,0.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,30,31,12340.0123,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Grand Vitara,6,54670.9942,1289.0001,3/20/2023,335013.4216,-38664.69488,1071
272,272,1,1,0,Creta,44,45,0.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,41,42,0.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,42,43,0.01,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,31,32,12340.0123,3/20/2023,-2383.215143,0,1071
272,272,1,1,0,Creta,46,47,0.01,3/20/2023,-2383.215143,0,1071
272,272,1,2,0,Grand Vitara,5,2953456.992,10.01,3/20/2023,-124012.6073,11523.39391,1071
292,292,1,1,1,Grand Vitara,6,54670.9942,1289.0001,6/20/2023,-108697.5418,4884.041846,1068
292,292,1,0,0,Grand Vitara,7,56432.60486,1289.0001,5/22/2023,279238.2605,-71753.0027,1068
292,292,1,1,0,Grand Vitara,7,56432.60486,1289.0001,5/22/2023,-540218.6347,138814.4679,1068
292,292,1,1,2,Grand Vitara,7,56432.60486,1289.0001,7/20/2023,-998010.6189,430120.8071,1068
292,292,1,1,2,Grand Vitara,8,3894560.999,1289.0001,7/20/2023,-269184.5931,31291.04152,1068
292,292,1,1,0,Grand Vitara,6,54670.9942,1289.0001,5/22/2023,-265681.2958,33575.11014,1068
292,292,1,0,2,Suzuki Swift,66,67456.789,45678.01,7/20/2023,-18415.00343,0,1068
292,292,1,0,2,Grand Vitara,7,56432.60486,1289.0001,7/20/2023,531743.2323,-229169.8009,1068
292,292,1,0,1,Suzuki Swift,65,66345.789,45678.01,6/20/2023,-17941.02588,0,1068
292,292,1,0,2,Grand Vitara,8,3894560.999,1289.0001,7/20/2023,143422.4074,-16672.0245,1068
292,292,1,0,0,Engine_Base,64,65,0.01,5/22/2023,-2388.352905,0,1068
292,292,1,0,0,Suzuki Swift,64,65,0.01,5/22/2023,-14330.11743,0,1068
292,292,1,0,1,Grand Vitara,7,56432.60486,1289.0001,6/20/2023,531937.01,-222858.1812,1068
292,292,1,0,1,Engine_Base,65,66345.789,45678.01,6/20/2023,-1296.437767,0,1068
292,292,1,0,1,Grand Vitara,6,54670.9942,1289.0001,6/20/2023,57050.00207,-2563.418821,1068
292,292,1,0,0,Grand Vitara,6,54670.9942,1289.0001,5/22/2023,137330.292,-17354.96335,1068
293,293,1,0,0,Verna,82,83345.789,1450.01,12/27/2023,310,0,1065
293,293,1,0,0,Verna,84,853456.765,12678.01,12/27/2023,310,0,1065
293,293,1,0,0,Verna,83,8400.123,1450.01,12/27/2023,300,0,1065
293,293,1,0,0,Verna,77,78234.543,1450.01,12/27/2023,310,0,1065
293,293,1,0,0,Verna,79,809876.456,1450.01,12/27/2023,310,0,1065
293,293,1,0,0,Verna,76,77345.665,3456.01,12/27/2023,300,0,1065
293,293,1,0,0,Verna,73,74567.34567,3456.01,12/27/2023,310,0,1065
293,293,1,0,0,Verna,80,815678.435,1450.01,12/27/2023,310,0,1065
293,293,1,0,0,Verna,78,79234.678,1450.01,12/27/2023,300,0,1065
293,293,1,0,0,Verna,74,75456.6543,3456.01,12/27/2023,290,0,1065
293,293,1,0,0,Verna,75,764567.1234,3456.01,12/27/2023,310,0,1065
295,295,1,0,2,Engine_Base,75,764567.1234,3456.01,4/22/2024,-1234.317732,0,1068
295,295,1,0,2,Suzuki Swift,75,764567.1234,3456.01,4/22/2024,-16313.59372,0,1068
295,295,1,0,2,Grand Vitara,9,789.6797,1289.0001,4/22/2024,972660.4849,-709387.4738,1068
295,295,1,0,1,Grand Vitara,10,6789900.995,1289.0001,3/20/2024,530034.2971,-213469.8909,1068
295,295,1,1,0,Grand Vitara,9,789.6797,1289.0001,2/20/2024,-2184442.997,1974550.448,1068
295,295,1,0,1,Suzuki Swift,74,75456.6543,3456.01,3/20/2024,-17547.29278,0,1068
295,295,1,0,0,Engine_Base,73,74567.34567,3456.01,2/20/2024,-1295.117197,0,1068
295,295,1,0,0,Grand Vitara,10,6789900.995,1289.0001,2/20/2024,342062.5062,-82276.15617,1068
295,295,1,0,3,Engine_Base,76,77345.665,3456.01,5/20/2024,-1285.599736,0,1068
295,295,1,0,0,Suzuki Swift,73,74567.34567,3456.01,2/20/2024,-17922.75088,0,1068
295,295,1,0,0,Grand Vitara,9,789.6797,1289.0001,2/20/2024,1285477.39,-1161962.096,1068
295,295,1,0,2,Grand Vitara,10,6789900.995,1289.0001,4/22/2024,783300.5221,-460063.5264,1068
295,295,1,0,5,Grand Vitara,9,789.6797,1289.0001,7/22/2024,624650.6748,-295507.7682,1068
295,295,1,0,3,Grand Vitara,9,789.6797,1289.0001,5/20/2024,920803.5802,-598964.9799,1068
295,295,1,0,10,Suzuki Swift,83,8400.123,1450.01,12/20/2024,-17552.44904,0,1068
295,295,1,0,8,Grand Vitara,9,789.6797,1289.0001,10/21/2024,312059.1638,-67662.86679,1068
295,295,1,0,9,Grand Vitara,9,789.6797,1289.0001,11/20/2024,211169.2971,-27948.01258,1068
295,295,1,0,9,Suzuki Swift,82,83345.1234,1450.01,11/20/2024,-19223.4947,0,1068
295,295,1,0,9,Grand Vitara,10,6789900.995,1289.0001,11/20/2024,2829239.998,-5016827.211,1068
295,295,1,0,10,Grand Vitara,9,789.6797,1289.0001,12/20/2024,70581.09795,-3378.791735,1068
295,295,1,0,10,Grand Vitara,10,6789900.995,1289.0001,12/20/2024,2861848.072,-5554898.689,1068
295,295,1,0,8,Grand Vitara,10,6789900.995,1289.0001,10/21/2024,2310498.667,-3709263.681,1068
295,295,1,0,11,Grand Vitara,10,6789900.995,1289.0001,1/20/2025,3060843.421,-5993173.365,1068
295,295,1,0,11,Grand Vitara,11,6543210.998,1289.0001,1/20/2025,182877.5503,-21394.15592,1068
295,295,1,1,1,Grand Vitara,9,789.6797,1289.0001,3/20/2024,-1814359.946,1491862.442,1068
295,295,1,0,11,Suzuki Swift,84,853456.765,12678.01,1/20/2025,-15922.9846,0,1068
295,295,1,0,8,Suzuki Swift,81,82123,1450.01,10/21/2024,-17551.32391,0,1068
295,295,1,0,7,Suzuki Swift,80,81234.567,1450.01,9/20/2024,-18386.49226,0,1068
295,295,1,0,7,Grand Vitara,10,6789900.995,1289.0001,9/20/2024,2132671.47,-3053964.721,1068
295,295,1,0,3,Suzuki Swift,76,77345.665,3456.01,5/20/2024,-17098.47649,0,1068
295,295,1,0,4,Engine_Base,77,78234.543,1450.01,6/20/2024,-1295.284633,0,1068
295,295,1,0,3,Grand Vitara,10,6789900.995,1289.0001,5/20/2024,1053135.539,-783494.534,1068
295,295,1,0,4,Suzuki Swift,77,78234.543,1450.01,6/20/2024,-17925.06799,0,1068
295,295,1,0,4,Grand Vitara,9,789.6797,1289.0001,6/20/2024,844322.6335,-475511.2808,1068
295,295,1,0,4,Grand Vitara,10,6789900.995,1289.0001,6/20/2024,1375307.758,-1261664.322,1068
295,295,1,0,5,Suzuki Swift,78,79234.678,1450.01,7/22/2024,-16713.92152,0,1068
295,295,1,1,0,Grand Vitara,10,6789900.995,1289.0001,2/20/2024,-581275.1373,139813.8702,1068
295,295,1,0,7,Grand Vitara,9,789.6797,1289.0001,9/20/2024,452929.0116,-137745.1699,1068
295,295,1,0,5,Grand Vitara,10,6789900.995,1289.0001,7/22/2024,1447643.459,-1587149.221,1068
295,295,1,0,6,Suzuki Swift,79,809876.456,1450.01,8/20/2024,-19221.60528,0,1068
295,295,1,0,6,Grand Vitara,9,789.6797,1289.0001,8/20/2024,601889.7172,-235588.5226,1068
295,295,1,0,6,Grand Vitara,10,6789900.995,1289.0001,8/20/2024,1935362.185,-2435818.128,1068
295,295,1,1,1,Grand Vitara,10,6789900.995,1289.0001,3/20/2024,-888690.8381,357917.7894,1068
295,295,1,0,11,Engine_Base,84,853456.765,12678.01,1/20/2025,-2468.062612,0,1068
295,295,1,1,9,Grand Vitara,10,6789900.995,1289.0001,11/20/2024,-4286469.034,7600795.478,1068
295,295,1,1,9,Grand Vitara,9,789.6797,1289.0001,11/20/2024,-319934.2061,42342.86025,1068
295,295,1,1,8,Grand Vitara,10,6789900.995,1289.0001,10/21/2024,-3543234.236,5688291.509,1068
295,295,1,1,8,Grand Vitara,9,789.6797,1289.0001,10/21/2024,-478554.1445,103763.3978,1068
295,295,1,1,10,Grand Vitara,10,6789900.995,1289.0001,12/20/2024,-4284254.703,8315815.497,1068
295,295,1,1,10,Grand Vitara,9,789.6797,1289.0001,12/20/2024,-105661.5841,5058.106035,1068
295,295,1,1,6,Grand Vitara,9,789.6797,1289.0001,8/20/2024,-946095.3993,370315.6486,1068
295,295,1,1,11,Grand Vitara,10,6789900.995,1289.0001,1/20/2025,-4528247.766,8866371.121,1068
295,295,1,1,11,Grand Vitara,11,6543210.998,1289.0001,1/20/2025,-270551.1994,31650.81143,1068
295,295,1,1,7,Grand Vitara,9,789.6797,1289.0001,9/20/2024,-703158.3112,213845.1673,1068
295,295,1,1,7,Grand Vitara,10,6789900.995,1289.0001,9/20/2024,-3310906.635,4741185.997,1068
295,295,1,1,6,Grand Vitara,10,6789900.995,1289.0001,8/20/2024,-3042147.435,3828801.587,1068
295,295,1,1,3,Grand Vitara,10,6789900.995,1289.0001,5/20/2024,-1719893.43,1279538.218,1068
295,295,1,1,2,Grand Vitara,10,6789900.995,1289.0001,4/22/2024,-1296053.166,761223.5844,1068
295,295,1,1,2,Grand Vitara,9,789.6797,1289.0001,4/22/2024,-1609369.158,1173756.272,1068
295,295,1,1,3,Grand Vitara,9,789.6797,1289.0001,5/20/2024,-1503779.873,978179.8348,1068
295,295,1,1,4,Grand Vitara,10,6789900.995,1289.0001,6/20/2024,-2217242.955,2034029.365,1068
295,295,1,1,5,Grand Vitara,9,789.6797,1289.0001,7/22/2024,-994301.5488,470381.0439,1068
295,295,1,1,5,Grand Vitara,10,6789900.995,1289.0001,7/22/2024,-2304318.544,2526379.935,1068
295,295,1,1,4,Grand Vitara,9,789.6797,1289.0001,6/20/2024,-1361199.63,766609.6091,1068
298,298,1,0,0,Engine_Base,30,31,12340.0123,3/20/2023,1668.2506,0,1068
298,298,1,0,0,Engine_Base,46,47,0.01,3/20/2023,1668.2506,0,1068
298,298,1,0,0,Engine_Base,45,46,0.01,3/20/2023,1668.2506,0,1068
298,298,1,0,0,Engine_Base,37,38,0.01,3/20/2023,1668.2506,0,1068
298,298,1,1,4,Grand Vitara,7,56432.60486,1289.0001,7/20/2023,2721847.142,-1173057.035,1068
298,298,1,0,0,Engine_Base,43,44,0.01,3/20/2023,1668.2506,0,1068
