S.No,Status,Start_Date,End_Date,Expiration_Date,Last_Date,Input_Start_Date,Input_End_Date,Delivery_Start_Date,Delivery_End_Date,Delivery_Start_Date,Pricing_Date
13,Sell,27-Dec-23,31/12/2024,15/05/2023,27-Dec-23,1/4/2023,1/4/2023,1/4/2023,1/4/2023,22/05/2023,27-Dec-23
14,Buy,29-Apr-24,31/07/2023,15/05/2023,29-Apr-24,15/3/2023,1/5/2023,1/5/2023,1/5/2023,20/06/2023,29-Apr-24
15,Buy,21-Dec-24,30/06/2023,27/12/2023,21-Dec-24,1/1/2024,1/6/2023,1/6/2023,1/6/2023,20/07/2023,21-Dec-24
16,Buy,31-Dec-23,28/02/2023,27/09/2024,31-Dec-23,1/1/2024,1/4/2023,1/4/2023,1/4/2023,22/05/2023,31-Dec-23
17,Buy,12-Mar-24,31/07/2023,26/09/2024,12-Mar-24,29/04/2024,1/5/2023,26/02/2024,1/5/2023,20/06/2023,12-Mar-24
18,Sell,20-Dec-23,31/07/2023,28/06/2023,20-Dec-23,1/2/2023,1/6/2023,27/12/2023,1/6/2023,20/07/2023,20-Dec-23
19,Sell,26-Feb-24,30/06/2023,27/12/2023,26-Feb-24,1/2/2023,1/1/2024,27/12/2024,1/1/2024,27/12/2023,26-Feb-24
20,Sell,21-Oct-23,31/12/2024,27/02/2025,21-Oct-23,21/12/2023,1/1/2024,27/12/2023,1/1/2024,20/02/2024,21-Oct-23
21,Buy,27-May-25,31/12/2024,27/12/2024,27-May-25,28/11/2024,1/2/2024,26/03/2024,1/2/2024,20/03/2024,27-May-25
22,Sell,27-Dec-23,30/06/2023,27/12/2023,27-Dec-23,26/02/2024,1/3/2024,21/12/2023,1/3/2024,22/04/2024,27-Dec-23
23,Buy,29-Nov-24,31/12/2024,28/12/2023,29-Nov-24,27/12/2023,1/4/2024,28/11/2024,1/4/2024,20/05/2024,29-Nov-24
24,Buy,27-Dec-24,10/1/2023,13/03/2023,27-Dec-24,27/12/2024,1/5/2024,26/02/2024,1/5/2024,20/06/2024,27-Dec-24
25,Buy,21-Dec-23,28/02/2023,26/02/2024,21-Dec-23,27/12/2023,1/6/2024,27/12/2023,1/6/2024,22/07/2024,21-Dec-23
26,Buy,26-Jun-24,30/06/2023,21/12/2023,26-Jun-24,26/03/2024,1/7/2024,1/7/2024,1/7/2024,20/08/2024,26-Jun-24
27,Buy,27-Oct-23,31/12/2024,27/03/2025,27-Oct-23,21/12/2023,1/8/2024,1/8/2024,1/8/2024,20/09/2024,27-Oct-23
28,Buy,26-Jan-24,10/1/2023,27/12/2023,26-Jan-24,28/11/2024,1/9/2024,1/9/2024,1/9/2024,21/10/2024,26-Jan-24
29,Buy,13-Dec-23,28/02/2023,29/04/2024,13-Dec-23,26/02/2024,21/12/2023,1/10/2024,1/10/2024,20/11/2024,13-Dec-23
30,Buy,18-Mar-25,30/06/2023,27/12/2024,18-Mar-25,27/12/2023,28/11/2024,1/11/2024,1/11/2024,20/12/2024,18-Mar-25
31,Sell,27-Dec-23,28/02/2023,27/12/2023,27-Dec-23,15/05/2023,26/02/2024,1/12/2024,1/12/2024,20/01/2025,27-Dec-23
32,Sell,29-Aug-24,30/06/2023,26/03/2024,29-Aug-24,15/05/2023,27/12/2023,1/1/2024,1/1/2024,20/02/2024,29-Aug-24
33,Buy,21-Sep-24,31/12/2024,21/12/2023,21-Sep-24,1/1/2024,9/1/2023,1/2/2024,1/2/2024,20/03/2024,21-Sep-24
34,Buy,31-Dec-23,16/05/2023,28/11/2024,31-Dec-23,1/4/2023,21/2/2023,1/3/2024,1/3/2024,22/04/2024,31-Dec-23
35,Buy,12-Jul-24,16/05/2023,26/02/2024,12-Jul-24,11/5/2024,29/5/2023,1/4/2024,1/4/2024,20/05/2024,12-Jul-24
36,Buy,20-Apr-23,6/1/2023,27/12/2023,20-Apr-23,21/6/2023,19/5/1985,1/5/2024,1/5/2024,20/06/2024,20-Apr-23
37,Sell,27-Dec-24,6/1/2023,15/05/2023,27-Dec-24,1/1/2024,27/4/2023,1/6/2024,1/6/2024,22/07/2024,27-Dec-24
38,Buy,21-Dec-23,28/02/2023,15/05/2023,21-Dec-23,21/12/2023,17/4/2020,1/7/2024,1/7/2024,20/08/2024,21-Dec-23
39,Sell,26-Jun-24,30/06/2023,27/12/2023,26-Jun-24,28/11/2024,28/4/2021,1/8/2024,1/8/2024,20/09/2024,26-Jun-24
40,Buy,27-Oct-23,31/07/2023,27/09/2024,27-Oct-23,26/02/2024,24/10/2024,1/9/2024,1/9/2024,21/10/2024,27-Oct-23
41,Sell,26-Jan-24,31/12/2024,26/09/2024,26-Jan-24,27/12/2023,1/10/2024,1/10/2024,1/10/2024,20/11/2024,26-Jan-24
42,Sell,13-Dec-23,28/02/2023,28/06/2023,13-Dec-23,9/1/2023,1/11/2024,1/11/2024,1/11/2024,20/12/2024,13-Dec-23
43,Buy,18-Mar-25,30/06/2023,27/12/2023,18-Mar-25,21/2/2023,1/12/2024,1/12/2024,1/12/2024,20/01/2025,18-Mar-25
44,Sell,27-Dec-23,31/07/2023,27/02/2025,27-Dec-23,29/5/2023,1/2/2023,1/2/2023,1/2/2023,20/03/2023,27-Dec-23
45,Buy,29-Aug-24,31/12/2024,27/12/2024,29-Aug-24,19/5/1985,1/3/2023,1/3/2023,1/3/2023,20/04/2023,29-Aug-24
46,Buy,21-Sep-24,6/1/2023,27/12/2023,21-Sep-24,27/4/2023,1/4/2023,1/4/2023,1/4/2023,22/05/2023,21-Sep-24
47,Buy,31-Dec-23,28/02/2023,28/12/2023,31-Dec-23,17/4/2020,1/5/2023,1/5/2023,1/5/2023,20/06/2023,31-Dec-23
48,Sell,12-Jul-24,30/06/2023,13/03/2023,12-Jul-24,28/4/2021,1/6/2023,1/6/2023,1/6/2023,20/07/2023,12-Jul-24
49,Buy,20-Apr-23,31/07/2023,28/06/2023,20-Apr-23,24/10/2024,1/7/2023,1/7/2023,1/7/2023,21/08/2023,20-Apr-23
