Id,dept_Id,SubDept_Id,Vehicle_Id,Vehicle_Profile_Id,Description,Vehicle_Price_Id,Vehicle_Showroom_Price,Vehicle_Showroom_Delta,Vehicle_Showroom_Payment_Date,Currency,Target_Currency,Average,Increment,Target_Simulation_Id
402,402,1,0,8,Grand Vitara,10,6789900.995,1289.0001,9/6/2024,INR,INR,-110438.3045,149497.9282,1071
414,414,1,0,0,Suzuki Swift,65,66345.789,45678.01,5/16/2023,INR,INR,54,0,1063
415,415,1,0,0,Ertiga,65,66345.789,45678.01,5/16/2023,INR,INR,120,0,1063
417,417,2,1,0,Grand Vitara,5,2953456.992,10.01,2/20/2023,INR,INR,45523.252,-32209.615,1068
419,419,2,0,0,Grand Vitara,4,14567.3,1234.156,2/20/2023,INR,INR,491.8991615,-22.54564606,1068
427,427,1,0,0,Engine_Base,31,32,12340.0123,3/20/2023,INR,INR,1277.403417,0,1068
430,430,1,1,2,Grand Vitara,8,3894560.999,1289.0001,7/20/2023,INR,INR,-198949.4303,23126.69531,1068
431,431,1,0,2,Grand Vitara,6,54670.9942,1289.0001,5/22/2023,INR,INR,-322503.5582,40755.97972,1068
440,440,1,0,4,Engine_Base,77,78234.543,1450.01,6/20/2024,INR,INR,-41371.0323,0,1068
442,442,1,0,0,Suzuki Swift,35,36,0.01,3/20/2023,INR,INR,74.22327667,0,1068
448,448,1,1,1,Suzuki Swift,65,66345.789,45678.01,6/20/2023,INR,INR,-333.7531355,0,1068
453,453,1,0,0,Engine_Base,32,33,12340.0123,3/20/2023,INR,INR,-1291.849863,0,1068
458,458,1,1,7,Engine_Base,80,815678.435,1450.01,9/20/2024,INR,INR,-40472.1143,0,1068
461,461,2,1,0,Grand Vitara,5,2953456.992,10.01,2/20/2023,INR,INR,37489.063,-2328.935079,1068
466,466,1,0,0,Suzuki Swift,28,29,12340.0123,3/20/2023,INR,INR,104.2472325,0,1068
471,471,1,1,1,Grand Vitara,6,54670.9942,1289.0001,6/20/2023,INR,INR,-86871.84927,3903.405741,1068
477,477,1,0,2,Grand Vitara,6,54670.9942,1289.0001,5/22/2023,INR,INR,-322503.5582,40755.97972,1068
481,481,1,0,11,Suzuki Swift,84,853456.765,12678.01,1/20/2025,INR,INR,851.5843579,0,1068
485,485,1,1,0,Seltos,30,31,12340.0123,3/20/2023,INR,INR,11077.73033,0,1071
489,489,1,2,0,EXAUST_SYSTEM,64,65,0.01,5/19/2023,INR,INR,-951204.6824,-0.00014901,1071
494,494,1,2,4,Grand Vitara,9,789.6797,1289.0001,6/20/2024,INR,INR,194004718.7,-109260880.9,1071
502,502,1,1,0,Baleno,4,51234.567,5678.01,2/20/2023,INR,INR,3286.400034,0,1071
506,506,1,1,0,Creta,45,46,0.01,3/20/2023,INR,INR,-14444.1487,0,1071
510,510,1,2,1,Grand Vitara,7,56432.60486,1289.0001,6/20/2023,INR,INR,-10358526.79,4339766.502,1071
514,514,1,2,1,Grand Vitara,9,789.6797,1289.0001,3/20/2024,INR,INR,57877146.69,-47589644.79,1071
437,534,3,0,0,Grand Vitara,5,2953456.992,10.01,2/20/2023,INR,INR,1427.286476,-128760.92,1068
269,544,2,0,0,Brezza,73,74567.34567,3456.01,12/27/2023,INR,INR,7436.593407,0,1065
274,575,2,0,0,Grand I20,81,82123,1450.01,9/30/2024,INR,INR,7184.615385,0,1062
275,576,2,0,0,BENZ GLE,85,8612345.568,12678.01,3/31/2025,INR,INR,2574,0,1062
276,577,2,0,0,Grand I20,69,70234.56789,3456.01,10/2/2023,INR,INR,7200,0,1062
294,579,2,0,0,BENZ GLE,84,853456.765,12678.01,12/31/2024,INR,INR,2285.714286,0,1062
273,580,2,0,0,Celerio,1,1.16,0.0001,3/15/2023,INR,INR,640000,0,1061
289,581,2,0,0,BENZ GLE,87,88234.432,12678.01,3/31/2025,INR,INR,2520,0,1062
257,257,1,2,0,Grand Vitara,5,2953456.992,10.01,2/20/2023,INR,INR,16142.34713,-128760.92,1071
257,257,1,2,0,Grand Vitara,4,14567.3,1234.156,2/20/2023,INR,INR,8732.745169,-400.247518,1071
257,257,1,1,0,Baleno,4,51234.567,5678.01,2/20/2023,INR,INR,2381.657773,0,1071
257,257,1,1,0,Grand Vitara,5,2953456.992,10.01,2/20/2023,INR,INR,-5439.145,376.0942491,1071
257,257,1,1,0,Baleno,5,6234.546,5678.01,2/20/2023,INR,INR,2381.657773,0,1071
257,257,1,1,0,Baleno,3,4234.56789,5678.01,2/20/2023,INR,INR,2381.657773,0,1071
257,257,1,1,0,Grand Vitara,4,14567.3,1234.156,2/20/2023,INR,INR,-2401.504922,110.0692316,1071
264,264,1,0,0,Suzuki Swift,90,91768.98,12678.01,6/30/2025,INR,INR,7246.153846,0,1063
265,265,1,0,0,Baleno,81,82123,1450.01,12/27/2023,INR,INR,-7199.999999,0,1065
265,265,1,0,0,Baleno,84,853456.765,12678.01,12/27/2023,INR,INR,-7439.999999,0,1065
265,265,1,0,0,Baleno,75,764567.1234,3456.01,12/27/2023,INR,INR,-7440,0,1065
265,265,1,0,0,Baleno,73,74567.34567,3456.01,12/27/2023,INR,INR,-7440,0,1065
265,265,1,0,0,Baleno,78,79234.678,1450.01,12/27/2023,INR,INR,-7200,0,1065
265,265,1,0,0,Baleno,77,78234.543,1450.01,12/27/2023,INR,INR,-7440,0,1065
265,265,1,0,0,Baleno,76,77345.665,3456.01,12/27/2023,INR,INR,-7200,0,1065
265,265,1,0,0,Baleno,80,815678.435,1450.01,12/27/2023,INR,INR,-7439.999999,0,1065
265,265,1,0,0,Baleno,74,75456.6543,3456.01,12/27/2023,INR,INR,-6960,0,1065
265,265,1,0,0,Baleno,79,809876.456,1450.01,12/27/2023,INR,INR,-7440,0,1065
265,265,1,0,0,Baleno,82,83345.789,1450.01,12/27/2023,INR,INR,-7439.999999,0,1065
267,267,1,0,0,Engine_Base,96,974567.11,110.01,12/31/2025,INR,INR,86195.12195,0,1063
268,268,1,1,0,Suzuki Swift,37,38,0.01,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,36,37,0.01,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,0,0,Suzuki Swift,54,55,134560.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,1,0,Suzuki Swift,34,35,12340.0123,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,40,41,0.01,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,41,42,0.01,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,47,48,0.01,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,44,45,0.01,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,0,0,Suzuki Swift,35,36,0.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,1,0,Suzuki Swift,30,31,12340.0123,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,42,43,0.01,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,0,0,Suzuki Swift,44,45,0.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,30,31,12340.0123,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,33,34,12340.0123,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,0,0,Grand Vitara,5,2953456.992,10.01,3/20/2023,INR,INR,65571.66613,-6093.014963,1068
268,268,1,0,0,Suzuki Swift,48,49,0.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,1,0,Grand Vitara,6,54670.9942,1289.0001,3/20/2023,INR,INR,-81442.918,9399.536066,1068
268,268,1,0,0,Suzuki Swift,43,44,0.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,1,0,Suzuki Swift,50,51,134560.01,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,35,36,0.01,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,28,29,12340.0123,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,0,0,Suzuki Swift,49,50,134560.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,28,29,12340.0123,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,0,0,Grand Vitara,6,54670.9942,1289.0001,3/20/2023,INR,INR,81442.918,-9399.536066,1068
268,268,1,1,0,Suzuki Swift,55,56,134560.01,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,0,0,Suzuki Swift,29,30,12340.0123,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,34,35,12340.0123,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,41,42,0.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,36,37,0.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,50,51,134560.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,37,38,0.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,47,48,0.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,42,43,0.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,55,56,134560.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,0,0,Suzuki Swift,40,41,0.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,1,0,Suzuki Swift,54,55,134560.01,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,0,0,Suzuki Swift,51,52,134560.01,3/20/2023,INR,INR,-834.1253,0,1068
268,268,1,1,0,Suzuki Swift,43,44,0.01,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,51,52,134560.01,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,33,34,12340.0123,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,1,0,Grand Vitara,5,2953456.992,10.01,3/20/2023,INR,INR,-5571.666,6093.014963,1068
268,268,1,1,0,Suzuki Swift,29,30,12340.0123,3/20/2023,INR,INR,834.1253,0,1068
268,268,1,1,0,Suzuki Swift,49,50,134560.01,3/20/2023,INR,INR,834.1253,0,1068
270,270,1,0,0,Wagon R,77,78234.543,1450.01,3/26/2024,INR,INR,7440,0,1065
270,270,1,0,0,Wagon R,78,79234.678,1450.01,3/26/2024,INR,INR,7200,0,1065
271,271,1,0,0,Grand Vitara,5,2953456.992,10.01,3/20/2023,INR,INR,-184468.7534,17141.08512,1068
271,271,1,0,0,Engine_Base,28,29,12340.0123,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,30,31,12340.0123,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,33,34,12340.0123,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,52,53,134560.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Grand Vitara,6,54670.9942,1289.0001,3/20/2023,INR,INR,-229118.3745,26443.08843,1068
271,271,1,0,0,Engine_Base,53,543456.1234,134560.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,38,39,0.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,48,49,0.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,36,37,0.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,43,44,0.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,29,30,12340.0123,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,39,40,0.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,40,41,0.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,35,36,0.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,45,46,0.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,41,42,0.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,50,51,134560.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,54,55,134560.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,42,43,0.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,47,48,0.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,44,45,0.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,37,38,0.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,55,56,134560.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,46,47,0.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,32,33,12340.0123,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,1,0,Grand Vitara,6,54670.9942,1289.0001,3/20/2023,INR,INR,677920.8376,-78240.40949,1068
271,271,1,0,0,Engine_Base,31,32,12340.0123,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,0,0,Engine_Base,51,52,134560.01,3/20/2023,INR,INR,1668.2506,0,1068
271,271,1,1,0,Grand Vitara,5,2953456.992,10.01,3/20/2023,INR,INR,545810.488,-50717.59224,1068
271,271,1,0,0,Engine_Base,49,50,134560.01,3/20/2023,INR,INR,1668.2506,0,1068
272,272,1,1,0,Creta,35,36,0.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,34,35,12340.0123,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,43,44,0.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,47,48,0.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,2,0,Grand Vitara,6,54670.9942,1289.0001,3/20/2023,INR,INR,-154029.1593,17776.85247,1071
272,272,1,1,0,Creta,53,543456.1234,134560.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,32,33,12340.0123,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,50,51,134560.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,56,57,134560.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,45,46,0.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,55,56,134560.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,51,52,134560.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,52,53,134560.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,54,55,134560.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,48,49,0.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,49,50,134560.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Grand Vitara,5,2953456.992,10.01,3/20/2023,INR,INR,45523.252,-25063.47373,1071
272,272,1,1,0,Creta,37,38,0.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,36,37,0.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,33,34,12340.0123,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,38,39,0.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,40,41,0.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,39,40,0.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,30,31,12340.0123,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Grand Vitara,6,54670.9942,1289.0001,3/20/2023,INR,INR,335013.4216,-38664.69488,1071
272,272,1,1,0,Creta,44,45,0.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,41,42,0.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,42,43,0.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,31,32,12340.0123,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,1,0,Creta,46,47,0.01,3/20/2023,INR,INR,-2383.215143,0,1071
272,272,1,2,0,Grand Vitara,5,2953456.992,10.01,3/20/2023,INR,INR,-124012.6073,11523.39391,1071
292,292,1,1,1,Grand Vitara,6,54670.9942,1289.0001,6/20/2023,INR,INR,-108697.5418,4884.041846,1068
292,292,1,0,0,Grand Vitara,7,56432.60486,1289.0001,5/22/2023,INR,INR,279238.2605,-71753.0027,1068
292,292,1,1,0,Grand Vitara,7,56432.60486,1289.0001,5/22/2023,INR,INR,-540218.6347,138814.4679,1068
292,292,1,1,2,Grand Vitara,7,56432.60486,1289.0001,7/20/2023,INR,INR,-998010.6189,430120.8071,1068
292,292,1,1,2,Grand Vitara,8,3894560.999,1289.0001,7/20/2023,INR,INR,-269184.5931,31291.04152,1068
292,292,1,1,0,Grand Vitara,6,54670.9942,1289.0001,5/22/2023,INR,INR,-265681.2958,33575.11014,1068
292,292,1,0,2,Suzuki Swift,66,67456.789,45678.01,7/20/2023,INR,INR,-18415.00343,0,1068
292,292,1,0,2,Grand Vitara,7,56432.60486,1289.0001,7/20/2023,INR,INR,531743.2323,-229169.8009,1068
292,292,1,0,1,Suzuki Swift,65,66345.789,45678.01,6/20/2023,INR,INR,-17941.02588,0,1068
292,292,1,0,2,Grand Vitara,8,3894560.999,1289.0001,7/20/2023,INR,INR,143422.4074,-16672.0245,1068
292,292,1,0,0,Engine_Base,64,65,0.01,5/22/2023,INR,INR,-2388.352905,0,1068
292,292,1,0,0,Suzuki Swift,64,65,0.01,5/22/2023,INR,INR,-14330.11743,0,1068
292,292,1,0,1,Grand Vitara,7,56432.60486,1289.0001,6/20/2023,INR,INR,531937.01,-222858.1812,1068
292,292,1,0,1,Engine_Base,65,66345.789,45678.01,6/20/2023,INR,INR,-1296.437767,0,1068
292,292,1,0,1,Grand Vitara,6,54670.9942,1289.0001,6/20/2023,INR,INR,57050.00207,-2563.418821,1068
292,292,1,0,0,Grand Vitara,6,54670.9942,1289.0001,5/22/2023,INR,INR,137330.292,-17354.96335,1068
293,293,1,0,0,Verna,82,83345.789,1450.01,12/27/2023,INR,INR,310,0,1065
293,293,1,0,0,Verna,84,853456.765,12678.01,12/27/2023,INR,INR,310,0,1065
293,293,1,0,0,Verna,83,8400.123,1450.01,12/27/2023,INR,INR,300,0,1065
293,293,1,0,0,Verna,77,78234.543,1450.01,12/27/2023,INR,INR,310,0,1065
293,293,1,0,0,Verna,79,809876.456,1450.01,12/27/2023,INR,INR,310,0,1065
293,293,1,0,0,Verna,76,77345.665,3456.01,12/27/2023,INR,INR,300,0,1065
293,293,1,0,0,Verna,73,74567.34567,3456.01,12/27/2023,INR,INR,310,0,1065
293,293,1,0,0,Verna,80,815678.435,1450.01,12/27/2023,INR,INR,310,0,1065
293,293,1,0,0,Verna,78,79234.678,1450.01,12/27/2023,INR,INR,300,0,1065
293,293,1,0,0,Verna,74,75456.6543,3456.01,12/27/2023,INR,INR,290,0,1065
293,293,1,0,0,Verna,75,764567.1234,3456.01,12/27/2023,INR,INR,310,0,1065
295,295,1,0,2,Engine_Base,75,764567.1234,3456.01,4/22/2024,INR,INR,-1234.317732,0,1068
295,295,1,0,2,Suzuki Swift,75,764567.1234,3456.01,4/22/2024,INR,INR,-16313.59372,0,1068
295,295,1,0,2,Grand Vitara,9,789.6797,1289.0001,4/22/2024,INR,INR,972660.4849,-709387.4738,1068
295,295,1,0,1,Grand Vitara,10,6789900.995,1289.0001,3/20/2024,INR,INR,530034.2971,-213469.8909,1068
295,295,1,1,0,Grand Vitara,9,789.6797,1289.0001,2/20/2024,INR,INR,-2184442.997,1974550.448,1068
295,295,1,0,1,Suzuki Swift,74,75456.6543,3456.01,3/20/2024,INR,INR,-17547.29278,0,1068
295,295,1,0,0,Engine_Base,73,74567.34567,3456.01,2/20/2024,INR,INR,-1295.117197,0,1068
295,295,1,0,0,Grand Vitara,10,6789900.995,1289.0001,2/20/2024,INR,INR,342062.5062,-82276.15617,1068
295,295,1,0,3,Engine_Base,76,77345.665,3456.01,5/20/2024,INR,INR,-1285.599736,0,1068
295,295,1,0,0,Suzuki Swift,73,74567.34567,3456.01,2/20/2024,INR,INR,-17922.75088,0,1068
295,295,1,0,0,Grand Vitara,9,789.6797,1289.0001,2/20/2024,INR,INR,1285477.39,-1161962.096,1068
295,295,1,0,2,Grand Vitara,10,6789900.995,1289.0001,4/22/2024,INR,INR,783300.5221,-460063.5264,1068
295,295,1,0,5,Grand Vitara,9,789.6797,1289.0001,7/22/2024,INR,INR,624650.6748,-295507.7682,1068
295,295,1,0,3,Grand Vitara,9,789.6797,1289.0001,5/20/2024,INR,INR,920803.5802,-598964.9799,1068
295,295,1,0,10,Suzuki Swift,83,8400.123,1450.01,12/20/2024,INR,INR,-17552.44904,0,1068
295,295,1,0,8,Grand Vitara,9,789.6797,1289.0001,10/21/2024,INR,INR,312059.1638,-67662.86679,1068
295,295,1,0,9,Grand Vitara,9,789.6797,1289.0001,11/20/2024,INR,INR,211169.2971,-27948.01258,1068
295,295,1,0,9,Suzuki Swift,82,83345.1234,1450.01,11/20/2024,INR,INR,-19223.4947,0,1068
295,295,1,0,9,Grand Vitara,10,6789900.995,1289.0001,11/20/2024,INR,INR,2829239.998,-5016827.211,1068
295,295,1,0,10,Grand Vitara,9,789.6797,1289.0001,12/20/2024,INR,INR,70581.09795,-3378.791735,1068
295,295,1,0,10,Grand Vitara,10,6789900.995,1289.0001,12/20/2024,INR,INR,2861848.072,-5554898.689,1068
295,295,1,0,8,Grand Vitara,10,6789900.995,1289.0001,10/21/2024,INR,INR,2310498.667,-3709263.681,1068
295,295,1,0,11,Grand Vitara,10,6789900.995,1289.0001,1/20/2025,INR,INR,3060843.421,-5993173.365,1068
295,295,1,0,11,Grand Vitara,11,6543210.998,1289.0001,1/20/2025,INR,INR,182877.5503,-21394.15592,1068
295,295,1,1,1,Grand Vitara,9,789.6797,1289.0001,3/20/2024,INR,INR,-1814359.946,1491862.442,1068
295,295,1,0,11,Suzuki Swift,84,853456.765,12678.01,1/20/2025,INR,INR,-15922.9846,0,1068
295,295,1,0,8,Suzuki Swift,81,82123,1450.01,10/21/2024,INR,INR,-17551.32391,0,1068
295,295,1,0,7,Suzuki Swift,80,81234.567,1450.01,9/20/2024,INR,INR,-18386.49226,0,1068
295,295,1,0,7,Grand Vitara,10,6789900.995,1289.0001,9/20/2024,INR,INR,2132671.47,-3053964.721,1068
295,295,1,0,3,Suzuki Swift,76,77345.665,3456.01,5/20/2024,INR,INR,-17098.47649,0,1068
295,295,1,0,4,Engine_Base,77,78234.543,1450.01,6/20/2024,INR,INR,-1295.284633,0,1068
295,295,1,0,3,Grand Vitara,10,6789900.995,1289.0001,5/20/2024,INR,INR,1053135.539,-783494.534,1068
295,295,1,0,4,Suzuki Swift,77,78234.543,1450.01,6/20/2024,INR,INR,-17925.06799,0,1068
295,295,1,0,4,Grand Vitara,9,789.6797,1289.0001,6/20/2024,INR,INR,844322.6335,-475511.2808,1068
295,295,1,0,4,Grand Vitara,10,6789900.995,1289.0001,6/20/2024,INR,INR,1375307.758,-1261664.322,1068
295,295,1,0,5,Suzuki Swift,78,79234.678,1450.01,7/22/2024,INR,INR,-16713.92152,0,1068
295,295,1,1,0,Grand Vitara,10,6789900.995,1289.0001,2/20/2024,INR,INR,-581275.1373,139813.8702,1068
295,295,1,0,7,Grand Vitara,9,789.6797,1289.0001,9/20/2024,INR,INR,452929.0116,-137745.1699,1068
295,295,1,0,5,Grand Vitara,10,6789900.995,1289.0001,7/22/2024,INR,INR,1447643.459,-1587149.221,1068
295,295,1,0,6,Suzuki Swift,79,809876.456,1450.01,8/20/2024,INR,INR,-19221.60528,0,1068
