Id,dept_Id,SubDept_Id,status,Description,After_Market_Price,on_road_price,invoice_date,Average,Increment,Target_Id,report_dt
43,143,1,Buy,Engine_Base,815678.435,1450.01,9/20/2024,-40472.1143,0,1068,2024-02-21
44,144,2,Sell,Grand Vitara,2953456.992,10.01,2/20/2023,37489.063,-2328.935079,1068,2024-02-21
45,145,1,Buy,Suzuki Swift,29,12340.0123,3/20/2023,104.2472325,0,1068,2024-02-21
46,146,1,Buy,Grand Vitara,54670.9942,1289.0001,6/20/2023,-86871.84927,3903.405741,1068,2024-02-21
47,147,1,Buy,Grand Vitara,54670.9942,1289.0001,5/22/2023,-322503.5582,40755.97972,1068,2024-03-16
48,148,1,Sell,Suzuki Swift,853456.765,12678.01,1/20/2025,851.5843579,0,1068,2024-03-16
49,149,1,Buy,Seltos,31,12340.0123,3/20/2023,11077.73033,0,1071,2024-03-16
50,150,1,Sell,EXAUST_SYSTEM,65,0.01,5/19/2023,-951204.6824,-0.00014901,1071,2024-03-16
51,151,1,Buy,Grand Vitara,789.6797,1289.0001,6/20/2024,194004718.7,-109260880.9,1071,2024-03-26
52,152,1,Buy,Baleno,51234.567,5678.01,2/20/2023,3286.400034,0,1071,2024-03-26
53,153,1,Sell,Creta,46,0.01,3/20/2023,-14444.1487,0,1071,2024-03-26
54,154,1,Buy,Grand Vitara,56432.60486,1289.0001,6/20/2023,-10358526.79,4339766.502,1071,2024-03-26
55,155,1,Buy,Grand Vitara,789.6797,1289.0001,3/20/2024,57877146.69,-47589644.79,1071,2024-04-15
56,156,3,Sell,Grand Vitara,2953456.992,10.01,2/20/2023,1427.286476,-128760.92,1068,2024-04-15
57,157,2,Buy,Brezza,74567.34567,3456.01,12/27/2023,7436.593407,0,1065,2024-04-15
58,158,2,Buy,Grand I20,82123,1450.01,9/30/2024,7184.615385,0,1062,2024-04-15
59,159,2,Buy,BENZ GLE,8612345.568,12678.01,3/31/2025,2574,0,1062,2024-04-30
60,160,2,Sell,Grand I20,70234.56789,3456.01,10-02-2023,7200,0,1062,2024-04-30
61,161,2,Buy,BENZ GLE,853456.765,12678.01,12/31/2024,2285.714286,0,1062,2024-04-30
62,162,2,Sell,Celerio,1.16,0.0001,3/15/2023,640000,0,1061,2024-04-30
63,163,2,Buy,BENZ GLE,88234.432,12678.01,3/31/2025,2520,0,1062,2024-04-30
64,164,1,Buy,Grand Vitara,2953456.992,10.01,2/20/2023,16142.34713,-128760.92,1071,2024-04-01
65,165,1,Buy,Grand Vitara,14567.3,1234.156,2/20/2023,8732.745169,-400.247518,1071,2024-04-02
66,166,1,Buy,Baleno,51234.567,5678.01,2/20/2023,2381.657773,0,1071,2024-04-03
67,167,1,Sell,Grand Vitara,2953456.992,10.01,2/20/2023,-5439.145,376.0942491,1071,2024-04-04
68,168,1,Sell,Baleno,6234.546,5678.01,2/20/2023,2381.657773,0,1071,2024-04-05
69,169,1,Sell,Baleno,4234.56789,5678.01,2/20/2023,2381.657773,0,1071,2024-04-06
70,170,1,Buy,Grand Vitara,14567.3,1234.156,2/20/2023,-2401.504922,110.0692316,1071,2024-04-07
71,171,1,Sell,Suzuki Swift,91768.98,12678.01,6/30/2025,7246.153846,0,1063,2024-04-08
72,172,1,Buy,Baleno,82123,1450.01,12/27/2023,-7199.999999,0,1065,2024-04-09
73,173,1,Buy,Baleno,853456.765,12678.01,12/27/2023,-7439.999999,0,1065,2024-04-10
74,174,1,Buy,Baleno,764567.1234,3456.01,12/27/2023,-7440,0,1065,2024-04-11
75,175,1,Buy,Baleno,74567.34567,3456.01,12/27/2023,-7440,0,1065,2024-04-12
76,176,1,Buy,Baleno,79234.678,1450.01,12/27/2023,-7200,0,1065,2024-04-13
77,177,1,Buy,Baleno,78234.543,1450.01,12/27/2023,-7440,0,1065,2024-04-14
78,178,1,Buy,Baleno,77345.665,3456.01,12/27/2023,-7200,0,1065,2024-04-15
79,179,1,Buy,Baleno,815678.435,1450.01,12/27/2023,-7439.999999,0,1065,2024-04-16
80,180,1,Sell,Baleno,75456.6543,3456.01,12/27/2023,-6960,0,1065,2024-04-17
81,181,1,Sell,Baleno,809876.456,1450.01,12/27/2023,-7440,0,1065,2024-04-18
82,182,1,Buy,Baleno,83345.789,1450.01,12/27/2023,-7439.999999,0,1065,2024-04-19
83,183,1,Buy,Engine_Base,974567.11,110.01,12/31/2025,86195.12195,0,1063,2024-04-20
84,184,1,Buy,Suzuki Swift,38,0.01,3/20/2023,834.1253,0,1068,2024-04-21
85,185,1,Buy,Suzuki Swift,37,0.01,3/20/2023,834.1253,0,1068,2024-04-22
86,186,1,Sell,Suzuki Swift,55,134560.01,3/20/2023,-834.1253,0,1068,2024-04-23
87,187,1,Buy,Suzuki Swift,35,12340.0123,3/20/2023,834.1253,0,1068,2024-04-24
88,188,1,Sell,Suzuki Swift,41,0.01,3/20/2023,834.1253,0,1068,2024-04-25
89,189,1,Buy,Suzuki Swift,42,0.01,3/20/2023,834.1253,0,1068,2024-04-26
90,190,1,Sell,Suzuki Swift,48,0.01,3/20/2023,834.1253,0,1068,2024-04-27
91,191,1,Sell,Suzuki Swift,45,0.01,3/20/2023,834.1253,0,1068,2024-04-28
92,192,1,Buy,Suzuki Swift,36,0.01,3/20/2023,-834.1253,0,1068,2024-04-29
93,193,1,Sell,Suzuki Swift,31,12340.0123,3/20/2023,834.1253,0,1068,2024-04-30
94,194,1,Buy,Suzuki Swift,43,0.01,3/20/2023,834.1253,0,1068,2024-05-01
95,195,1,Buy,Suzuki Swift,45,0.01,3/20/2023,-834.1253,0,1068,2024-05-02
96,196,1,Buy,Suzuki Swift,31,12340.0123,3/20/2023,-834.1253,0,1068,2024-05-03
97,197,1,Sell,Suzuki Swift,34,12340.0123,3/20/2023,-834.1253,0,1068,2024-05-04
98,198,1,Buy,Grand Vitara,2953456.992,10.01,3/20/2023,65571.66613,-6093.014963,1068,2024-05-05
99,199,1,Sell,Suzuki Swift,49,0.01,3/20/2023,-834.1253,0,1068,2024-05-06
100,200,1,Buy,Grand Vitara,54670.9942,1289.0001,3/20/2023,-81442.918,9399.536066,1068,2024-05-07
101,201,1,Buy,Suzuki Swift,44,0.01,3/20/2023,-834.1253,0,1068,2024-05-08
102,202,1,Sell,Suzuki Swift,51,134560.01,3/20/2023,834.1253,0,1068,2024-05-09
103,203,1,Buy,Suzuki Swift,36,0.01,3/20/2023,834.1253,0,1068,2024-05-10
104,204,1,Buy,Suzuki Swift,29,12340.0123,3/20/2023,834.1253,0,1068,2024-05-11
105,205,1,Sell,Suzuki Swift,50,134560.01,3/20/2023,-834.1253,0,1068,2024-05-12
106,206,1,Buy,Suzuki Swift,29,12340.0123,3/20/2023,-834.1253,0,1068,2024-05-13
107,207,1,Buy,Grand Vitara,54670.9942,1289.0001,3/20/2023,81442.918,-9399.536066,1068,2024-05-14
108,208,1,Buy,Suzuki Swift,56,134560.01,3/20/2023,834.1253,0,1068,2024-05-15
109,209,1,Sell,Suzuki Swift,30,12340.0123,3/20/2023,-834.1253,0,1068,2024-05-16
110,210,1,Buy,Suzuki Swift,35,12340.0123,3/20/2023,-834.1253,0,1068,2024-05-17
111,211,1,Sell,Suzuki Swift,42,0.01,3/20/2023,-834.1253,0,1068,2024-05-18
112,212,1,Buy,Suzuki Swift,37,0.01,3/20/2023,-834.1253,0,1068,2024-05-19
113,213,1,Buy,Suzuki Swift,51,134560.01,3/20/2023,-834.1253,0,1068,2024-05-20
114,214,1,Buy,Suzuki Swift,38,0.01,3/20/2023,-834.1253,0,1068,2024-05-21
115,215,1,Buy,Suzuki Swift,48,0.01,3/20/2023,-834.1253,0,1068,2024-05-22
116,216,1,Sell,Suzuki Swift,43,0.01,3/20/2023,-834.1253,0,1068,2024-05-23
117,217,1,Sell,Suzuki Swift,56,134560.01,3/20/2023,-834.1253,0,1068,2024-05-24
118,218,1,Sell,Suzuki Swift,41,0.01,3/20/2023,-834.1253,0,1068,2024-05-25
119,219,1,Buy,Suzuki Swift,55,134560.01,3/20/2023,834.1253,0,1068,2024-05-26
120,220,1,Sell,Suzuki Swift,52,134560.01,3/20/2023,-834.1253,0,1068,2024-05-27
121,221,1,Buy,Suzuki Swift,44,0.01,3/20/2023,834.1253,0,1068,2024-05-28
122,222,1,Buy,Suzuki Swift,52,134560.01,3/20/2023,834.1253,0,1068,2024-05-29
123,223,1,Buy,Suzuki Swift,34,12340.0123,3/20/2023,834.1253,0,1068,2024-05-30
124,224,1,Buy,Grand Vitara,2953456.992,10.01,3/20/2023,-5571.666,6093.014963,1068,2024-05-31
125,225,1,Buy,Suzuki Swift,30,12340.0123,3/20/2023,834.1253,0,1068,2024-06-01
126,226,1,Buy,Suzuki Swift,50,134560.01,3/20/2023,834.1253,0,1068,2024-06-02
127,227,1,Buy,Wagon R,78234.543,1450.01,3/26/2024,7440,0,1065,2024-06-03
128,228,1,Buy,Wagon R,79234.678,1450.01,3/26/2024,7200,0,1065,2024-06-04
129,229,1,Sell,Grand Vitara,2953456.992,10.01,3/20/2023,-184468.7534,17141.08512,1068,2024-06-05
130,230,1,Sell,Engine_Base,29,12340.0123,3/20/2023,1668.2506,0,1068,2024-06-06
131,231,1,Buy,Engine_Base,31,12340.0123,3/20/2023,1668.2506,0,1068,2024-06-07
132,232,1,Buy,Engine_Base,34,12340.0123,3/20/2023,1668.2506,0,1068,2024-06-08
133,233,1,Buy,Engine_Base,53,134560.01,3/20/2023,1668.2506,0,1068,2024-06-09
134,234,1,Buy,Grand Vitara,54670.9942,1289.0001,3/20/2023,-229118.3745,26443.08843,1068,2024-06-10
135,235,1,Sell,Engine_Base,543456.1234,134560.01,3/20/2023,1668.2506,0,1068,2024-06-11
136,236,1,Buy,Engine_Base,39,0.01,3/20/2023,1668.2506,0,1068,2024-06-12
137,237,1,Sell,Engine_Base,49,0.01,3/20/2023,1668.2506,0,1068,2024-06-13
138,238,1,Buy,Engine_Base,37,0.01,3/20/2023,1668.2506,0,1068,2024-06-14
139,239,1,Sell,Engine_Base,44,0.01,3/20/2023,1668.2506,0,1068,2024-06-15
140,240,1,Sell,Engine_Base,30,12340.0123,3/20/2023,1668.2506,0,1068,2024-06-16
141,241,1,Buy,Engine_Base,40,0.01,3/20/2023,1668.2506,0,1068,2024-06-17
142,242,1,Sell,Engine_Base,41,0.01,3/20/2023,1668.2506,0,1068,2024-06-18
143,243,1,Buy,Engine_Base,36,0.01,3/20/2023,1668.2506,0,1068,2024-06-19
144,244,1,Buy,Engine_Base,46,0.01,3/20/2023,1668.2506,0,1068,2024-06-20
145,245,1,Buy,Engine_Base,42,0.01,3/20/2023,1668.2506,0,1068,2024-06-21
146,246,1,Sell,Engine_Base,51,134560.01,3/20/2023,1668.2506,0,1068,2024-06-22
147,247,1,Buy,Engine_Base,55,134560.01,3/20/2023,1668.2506,0,1068,2024-06-23
148,248,1,Sell,Engine_Base,43,0.01,3/20/2023,1668.2506,0,1068,2024-06-24
149,249,1,Buy,Engine_Base,48,0.01,3/20/2023,1668.2506,0,1068,2024-06-25
150,250,1,Buy,Engine_Base,45,0.01,3/20/2023,1668.2506,0,1068,2024-06-26
151,251,1,Sell,Engine_Base,38,0.01,3/20/2023,1668.2506,0,1068,2024-06-27
152,252,1,Buy,Engine_Base,56,134560.01,3/20/2023,1668.2506,0,1068,2024-06-28
153,253,1,Buy,Engine_Base,47,0.01,3/20/2023,1668.2506,0,1068,2024-06-29
154,254,1,Sell,Engine_Base,33,12340.0123,3/20/2023,1668.2506,0,1068,2024-06-30
155,255,1,Buy,Grand Vitara,54670.9942,1289.0001,3/20/2023,677920.8376,-78240.40949,1068,2024-07-01
156,256,1,Buy,Engine_Base,32,12340.0123,3/20/2023,1668.2506,0,1068,2024-07-02
157,257,1,Buy,Engine_Base,52,134560.01,3/20/2023,1668.2506,0,1068,2024-07-03
158,258,1,Sell,Grand Vitara,2953456.992,10.01,3/20/2023,545810.488,-50717.59224,1068,2024-07-04
159,259,1,Buy,Engine_Base,50,134560.01,3/20/2023,1668.2506,0,1068,2024-07-05
160,260,1,Sell,Creta,36,0.01,3/20/2023,-2383.215143,0,1071,2024-07-06
161,261,1,Buy,Creta,35,12340.0123,3/20/2023,-2383.215143,0,1071,2024-07-07
162,262,1,Buy,Creta,44,0.01,3/20/2023,-2383.215143,0,1071,2024-07-08
163,263,1,Buy,Creta,48,0.01,3/20/2023,-2383.215143,0,1071,2024-07-09
164,264,1,Buy,Grand Vitara,54670.9942,1289.0001,3/20/2023,-154029.1593,17776.85247,1071,2024-07-10
165,265,1,Sell,Creta,543456.1234,134560.01,3/20/2023,-2383.215143,0,1071,2024-07-11
166,266,1,Sell,Creta,33,12340.0123,3/20/2023,-2383.215143,0,1071,2024-07-12
167,267,1,Sell,Creta,51,134560.01,3/20/2023,-2383.215143,0,1071,2024-07-13
168,268,1,Buy,Creta,57,134560.01,3/20/2023,-2383.215143,0,1071,2024-07-14
169,269,1,Sell,Creta,46,0.01,3/20/2023,-2383.215143,0,1071,2024-07-15
170,270,1,Buy,Creta,56,134560.01,3/20/2023,-2383.215143,0,1071,2024-07-16
171,271,1,Buy,Creta,52,134560.01,3/20/2023,-2383.215143,0,1071,2024-07-17
172,272,1,Buy,Creta,53,134560.01,3/20/2023,-2383.215143,0,1071,2024-07-18
173,273,1,Buy,Creta,55,134560.01,3/20/2023,-2383.215143,0,1071,2024-07-19
174,274,1,Buy,Creta,49,0.01,3/20/2023,-2383.215143,0,1071,2024-07-20
175,275,1,Buy,Creta,50,134560.01,3/20/2023,-2383.215143,0,1071,2024-07-21
176,276,1,Buy,Grand Vitara,2953456.992,10.01,3/20/2023,45523.252,-25063.47373,1071,2024-07-22
177,277,1,Buy,Creta,38,0.01,3/20/2023,-2383.215143,0,1071,2024-07-23
178,278,1,Sell,Creta,37,0.01,3/20/2023,-2383.215143,0,1071,2024-07-24
179,279,1,Sell,Creta,34,12340.0123,3/20/2023,-2383.215143,0,1071,2024-07-25
180,280,1,Buy,Creta,39,0.01,3/20/2023,-2383.215143,0,1071,2024-07-26
181,281,1,Buy,Creta,41,0.01,3/20/2023,-2383.215143,0,1071,2024-07-27
182,282,1,Buy,Creta,40,0.01,3/20/2023,-2383.215143,0,1071,2024-07-28
183,283,1,Buy,Creta,31,12340.0123,3/20/2023,-2383.215143,0,1071,2024-07-29
184,284,1,Sell,Grand Vitara,54670.9942,1289.0001,3/20/2023,335013.4216,-38664.69488,1071,2024-07-30
185,285,1,Buy,Creta,45,0.01,3/20/2023,-2383.215143,0,1071,2024-07-31
186,286,1,Sell,Creta,42,0.01,3/20/2023,-2383.215143,0,1071,2024-08-01
187,287,1,Buy,Creta,43,0.01,3/20/2023,-2383.215143,0,1071,2024-08-02
188,288,1,Sell,Creta,32,12340.0123,3/20/2023,-2383.215143,0,1071,2024-08-03
189,289,1,Sell,Creta,47,0.01,3/20/2023,-2383.215143,0,1071,2024-08-04
190,290,1,Buy,Grand Vitara,2953456.992,10.01,3/20/2023,-124012.6073,11523.39391,1071,2024-08-05
191,291,1,Sell,Grand Vitara,54670.9942,1289.0001,6/20/2023,-108697.5418,4884.041846,1068,2024-08-06
192,292,1,Buy,Grand Vitara,56432.60486,1289.0001,5/22/2023,279238.2605,-71753.0027,1068,2024-08-07
193,293,1,Buy,Grand Vitara,56432.60486,1289.0001,5/22/2023,-540218.6347,138814.4679,1068,2024-08-08
194,294,1,Buy,Grand Vitara,56432.60486,1289.0001,7/20/2023,-998010.6189,430120.8071,1068,2024-08-09
195,295,1,Sell,Grand Vitara,3894560.999,1289.0001,7/20/2023,-269184.5931,31291.04152,1068,2024-08-10
196,296,1,Buy,Grand Vitara,54670.9942,1289.0001,5/22/2023,-265681.2958,33575.11014,1068,2024-01-01
197,297,1,Sell,Suzuki Swift,67456.789,45678.01,7/20/2023,-18415.00343,0,1068,2024-01-02
198,298,1,Buy,Grand Vitara,56432.60486,1289.0001,7/20/2023,531743.2323,-229169.8009,1068,2024-01-03
199,299,1,Buy,Suzuki Swift,66345.789,45678.01,6/20/2023,-17941.02588,0,1068,2024-01-04
200,300,1,Sell,Grand Vitara,3894560.999,1289.0001,7/20/2023,143422.4074,-16672.0245,1068,2024-01-05
201,301,1,Buy,Engine_Base,65,0.01,5/22/2023,-2388.352905,0,1068,2024-01-06
202,302,1,Buy,Suzuki Swift,65,0.01,5/22/2023,-14330.11743,0,1068,2024-01-07
203,303,1,Sell,Grand Vitara,56432.60486,1289.0001,6/20/2023,531937.01,-222858.1812,1068,2024-01-08
204,304,1,Buy,Engine_Base,66345.789,45678.01,6/20/2023,-1296.437767,0,1068,2024-01-09
205,305,1,Buy,Grand Vitara,54670.9942,1289.0001,6/20/2023,57050.00207,-2563.418821,1068,2024-01-10
206,306,1,Buy,Grand Vitara,54670.9942,1289.0001,5/22/2023,137330.292,-17354.96335,1068,2024-01-11
207,307,1,Sell,Verna,83345.789,1450.01,12/27/2023,310,0,1065,2024-01-12
208,308,1,Buy,Verna,853456.765,12678.01,12/27/2023,310,0,1065,2024-01-13
209,309,1,Sell,Verna,8400.123,1450.01,12/27/2023,300,0,1065,2024-01-14
210,310,1,Buy,Verna,78234.543,1450.01,12/27/2023,310,0,1065,2024-01-15
211,311,1,Buy,Verna,809876.456,1450.01,12/27/2023,310,0,1065,2024-01-16
212,312,1,Buy,Verna,77345.665,3456.01,12/27/2023,300,0,1065,2024-01-17
213,313,1,Buy,Verna,74567.34567,3456.01,12/27/2023,310,0,1065,2024-01-18
214,314,1,Sell,Verna,815678.435,1450.01,12/27/2023,310,0,1065,2024-01-19
215,315,1,Sell,Verna,79234.678,1450.01,12/27/2023,300,0,1065,2024-01-20
216,316,1,Sell,Verna,75456.6543,3456.01,12/27/2023,290,0,1065,2024-01-21
217,317,1,Buy,Verna,764567.1234,3456.01,12/27/2023,310,0,1065,2024-01-22
218,318,1,Sell,Engine_Base,764567.1234,3456.01,4/22/2024,-1234.317732,0,1068,2024-01-23
219,319,1,Buy,Suzuki Swift,764567.1234,3456.01,4/22/2024,-16313.59372,0,1068,2024-01-24
220,320,1,Buy,Grand Vitara,789.6797,1289.0001,4/22/2024,972660.4849,-709387.4738,1068,2024-01-25
221,321,1,Buy,Grand Vitara,6789900.995,1289.0001,3/20/2024,530034.2971,-213469.8909,1068,2024-01-26
222,322,1,Buy,Grand Vitara,789.6797,1289.0001,2/20/2024,-2184442.997,1974550.448,1068,2024-01-27
223,323,1,Buy,Suzuki Swift,75456.6543,3456.01,3/20/2024,-17547.29278,0,1068,2024-01-28
224,324,1,Buy,Engine_Base,74567.34567,3456.01,2/20/2024,-1295.117197,0,1068,2024-01-29
225,325,1,Buy,Grand Vitara,6789900.995,1289.0001,2/20/2024,342062.5062,-82276.15617,1068,2024-01-30
226,326,1,Buy,Engine_Base,77345.665,3456.01,5/20/2024,-1285.599736,0,1068,2024-01-31
227,327,1,Sell,Suzuki Swift,74567.34567,3456.01,2/20/2024,-17922.75088,0,1068,2024-02-01
228,328,1,Sell,Grand Vitara,789.6797,1289.0001,2/20/2024,1285477.39,-1161962.096,1068,2024-02-02
229,329,1,Buy,Grand Vitara,6789900.995,1289.0001,4/22/2024,783300.5221,-460063.5264,1068,2024-02-03
230,330,1,Buy,Grand Vitara,789.6797,1289.0001,7/22/2024,624650.6748,-295507.7682,1068,2024-02-04
231,331,1,Buy,Grand Vitara,789.6797,1289.0001,5/20/2024,920803.5802,-598964.9799,1068,2024-02-05
232,332,1,Buy,Suzuki Swift,8400.123,1450.01,12/20/2024,-17552.44904,0,1068,2024-02-06
233,333,1,Sell,Grand Vitara,789.6797,1289.0001,10/21/2024,312059.1638,-67662.86679,1068,2024-02-07
234,334,1,Buy,Grand Vitara,789.6797,1289.0001,11/20/2024,211169.2971,-27948.01258,1068,2024-02-08
235,335,1,Sell,Suzuki Swift,83345.1234,1450.01,11/20/2024,-19223.4947,0,1068,2024-02-09
236,336,1,Buy,Grand Vitara,6789900.995,1289.0001,11/20/2024,2829239.998,-5016827.211,1068,2024-02-10
237,337,1,Sell,Grand Vitara,789.6797,1289.0001,12/20/2024,70581.09795,-3378.791735,1068,2024-02-11
238,338,1,Sell,Grand Vitara,6789900.995,1289.0001,12/20/2024,2861848.072,-5554898.689,1068,2024-02-12
239,339,1,Buy,Grand Vitara,6789900.995,1289.0001,10/21/2024,2310498.667,-3709263.681,1068,2024-02-13
240,340,1,Sell,Grand Vitara,6789900.995,1289.0001,1/20/2025,3060843.421,-5993173.365,1068,2024-02-14
241,341,1,Buy,Grand Vitara,6543210.998,1289.0001,1/20/2025,182877.5503,-21394.15592,1068,2024-02-15
242,342,1,Buy,Grand Vitara,789.6797,1289.0001,3/20/2024,-1814359.946,1491862.442,1068,2024-02-16
243,343,1,Buy,Suzuki Swift,853456.765,12678.01,1/20/2025,-15922.9846,0,1068,2024-02-17
244,344,1,Sell,Suzuki Swift,82123,1450.01,10/21/2024,-17551.32391,0,1068,2024-02-18
245,345,1,Buy,Suzuki Swift,81234.567,1450.01,9/20/2024,-18386.49226,0,1068,2024-02-19
246,346,1,Sell,Grand Vitara,6789900.995,1289.0001,9/20/2024,2132671.47,-3053964.721,1068,2024-02-20
247,347,1,Buy,Suzuki Swift,77345.665,3456.01,5/20/2024,-17098.47649,0,1068,2024-02-21
248,348,1,Buy,Engine_Base,78234.543,1450.01,6/20/2024,-1295.284633,0,1068,2024-02-22
249,349,1,Sell,Grand Vitara,6789900.995,1289.0001,5/20/2024,1053135.539,-783494.534,1068,2024-02-23
250,350,1,Buy,Suzuki Swift,78234.543,1450.01,6/20/2024,-17925.06799,0,1068,2024-02-24
251,351,1,Buy,Grand Vitara,789.6797,1289.0001,6/20/2024,844322.6335,-475511.2808,1068,2024-02-25
252,352,1,Sell,Grand Vitara,6789900.995,1289.0001,6/20/2024,1375307.758,-1261664.322,1068,2024-02-26
253,353,1,Buy,Suzuki Swift,79234.678,1450.01,7/22/2024,-16713.92152,0,1068,2024-02-27
254,354,1,Buy,Grand Vitara,6789900.995,1289.0001,2/20/2024,-581275.1373,139813.8702,1068,2024-02-28
255,355,1,Buy,Grand Vitara,789.6797,1289.0001,9/20/2024,452929.0116,-137745.1699,1068,2024-02-29
256,356,1,Sell,Grand Vitara,6789900.995,1289.0001,7/22/2024,1447643.459,-1587149.221,1068,2024-03-01
257,357,1,Buy,Suzuki Swift,809876.456,1450.01,8/20/2024,-19221.60528,0,1068,2024-03-02
258,358,1,Sell,Grand Vitara,789.6797,1289.0001,8/20/2024,601889.7172,-235588.5226,1068,2024-03-03
259,359,1,Buy,Grand Vitara,6789900.995,1289.0001,8/20/2024,1935362.185,-2435818.128,1068,2024-03-04
260,360,1,Buy,Grand Vitara,6789900.995,1289.0001,3/20/2024,-888690.8381,357917.7894,1068,2024-03-05
261,361,1,Buy,Engine_Base,853456.765,12678.01,1/20/2025,-2468.062612,0,1068,2024-03-06
262,362,1,Buy,Grand Vitara,6789900.995,1289.0001,11/20/2024,-4286469.034,7600795.478,1068,2024-03-07
263,363,1,Sell,Grand Vitara,789.6797,1289.0001,11/20/2024,-319934.2061,42342.86025,1068,2024-03-08
264,364,1,Sell,Grand Vitara,6789900.995,1289.0001,10/21/2024,-3543234.236,5688291.509,1068,2024-03-09
